old,new
add.edges,<a href='https://r.igraph.org/reference/add_edges.html'>igraph::add_edges</a>
add.vertex.shape,<a href='https://r.igraph.org/reference/shapes.html'>igraph::add_shape</a>
add.vertices,<a href='https://r.igraph.org/reference/add_vertices.html'>igraph::add_vertices</a>
adjacent.triangles,<a href='https://r.igraph.org/reference/count_triangles.html'>igraph::count_triangles</a>
articulation.points,<a href='https://r.igraph.org/reference/articulation_points.html'>igraph::articulation_points</a>
aging.prefatt.game,<a href='https://r.igraph.org/reference/sample_pa_age.html'>igraph::sample_pa_age</a>
aging.ba.game,<a href='https://r.igraph.org/reference/sample_pa_age.html'>igraph::sample_pa_age</a>
aging.barabasi.game,<a href='https://r.igraph.org/reference/sample_pa_age.html'>igraph::sample_pa_age</a>
alpha.centrality,<a href='https://r.igraph.org/reference/alpha_centrality.html'>igraph::alpha_centrality</a>
are.connected,<a href='https://r.igraph.org/reference/are_adjacent.html'>igraph::are_adjacent</a>
assortativity.degree,<a href='https://r.igraph.org/reference/assortativity.html'>igraph::assortativity_degree</a>
assortativity.nominal,<a href='https://r.igraph.org/reference/assortativity.html'>igraph::assortativity_nominal</a>
asymmetric.preference.game,<a href='https://r.igraph.org/reference/sample_pref.html'>igraph::sample_asym_pref</a>
authority.score,<a href='https://r.igraph.org/reference/hub_score.html'>igraph::authority_score</a>
automorphisms,<a href='https://r.igraph.org/reference/count_automorphisms.html'>igraph::count_automorphisms</a>
autocurve.edges,<a href='https://r.igraph.org/reference/curve_multiple.html'>igraph::curve_multiple</a>
average.path.length,<a href='https://r.igraph.org/reference/distances.html'>igraph::mean_distance</a>
ba.game,<a href='https://r.igraph.org/reference/sample_pa.html'>igraph::sample_pa</a>
barabasi.game,<a href='https://r.igraph.org/reference/sample_pa.html'>igraph::sample_pa</a>
biconnected.components,<a href='https://r.igraph.org/reference/biconnected_components.html'>igraph::biconnected_components</a>
bipartite.mapping,<a href='https://r.igraph.org/reference/bipartite_mapping.html'>igraph::bipartite_mapping</a>
bipartite.projection,<a href='https://r.igraph.org/reference/bipartite_projection.html'>igraph::bipartite_projection</a>
bipartite.projection.size,<a href='https://r.igraph.org/reference/bipartite_projection.html'>igraph::bipartite_projection_size</a>
bipartite.random.game,<a href='https://r.igraph.org/reference/sample_bipartite.html'>igraph::sample_bipartite</a>
blockGraphs,<a href='https://r.igraph.org/reference/cohesive_blocks.html'>igraph::graphs_from_cohesive_blocks</a>
bonpow,<a href='https://r.igraph.org/reference/power_centrality.html'>igraph::power_centrality</a>
callaway.traits.game,<a href='https://r.igraph.org/reference/sample_traits_callaway.html'>igraph::sample_traits_callaway</a>
canonical.permutation,<a href='https://r.igraph.org/reference/canonical_permutation.html'>igraph::canonical_permutation</a>
centralization.betweenness,<a href='https://r.igraph.org/reference/centr_betw.html'>igraph::centr_betw</a>
centralization.betweenness.tmax,<a href='https://r.igraph.org/reference/centr_betw_tmax.html'>igraph::centr_betw_tmax</a>
centralization.closeness,<a href='https://r.igraph.org/reference/centr_clo.html'>igraph::centr_clo</a>
centralization.closeness.tmax,<a href='https://r.igraph.org/reference/centr_clo_tmax.html'>igraph::centr_clo_tmax</a>
centralization.degree,<a href='https://r.igraph.org/reference/centr_degree.html'>igraph::centr_degree</a>
centralization.degree.tmax,<a href='https://r.igraph.org/reference/centr_degree_tmax.html'>igraph::centr_degree_tmax</a>
centralization.evcent,<a href='https://r.igraph.org/reference/centr_eigen.html'>igraph::centr_eigen</a>
centralization.evcent.tmax,<a href='https://r.igraph.org/reference/centr_eigen_tmax.html'>igraph::centr_eigen_tmax</a>
centralize.scores,<a href='https://r.igraph.org/reference/centralize.html'>igraph::centralize</a>
cited.type.game,<a href='https://r.igraph.org/reference/sample_last_cit.html'>igraph::sample_cit_types</a>
citing.cited.type.game,<a href='https://r.igraph.org/reference/sample_last_cit.html'>igraph::sample_cit_cit_types</a>
clique.number,<a href='https://r.igraph.org/reference/cliques.html'>igraph::clique_num</a>
cluster.distribution,<a href='https://r.igraph.org/reference/components.html'>igraph::component_distribution</a>
clusters,<a href='https://r.igraph.org/reference/components.html'>igraph::components</a>
code.length,<a href='https://r.igraph.org/reference/communities.html'>igraph::code_len</a>
cohesive.blocks,<a href='https://r.igraph.org/reference/cohesive_blocks.html'>igraph::cohesive_blocks</a>
connect.neighborhood,<a href='https://r.igraph.org/reference/ego.html'>igraph::connect</a>
contract.vertices,<a href='https://r.igraph.org/reference/contract.html'>igraph::contract</a>
convex.hull,<a href='https://r.igraph.org/reference/convex_hull.html'>igraph::convex_hull</a>
count.multiple,<a href='https://r.igraph.org/reference/which_multiple.html'>igraph::count_multiple</a>
cutat,<a href='https://r.igraph.org/reference/communities.html'>igraph::cut_at</a>
decompose.graph,<a href='https://r.igraph.org/reference/decompose.html'>igraph::decompose</a>
degree.distribution,<a href='https://r.igraph.org/reference/degree.html'>igraph::degree_distribution</a>
degree.sequence.game,<a href='https://r.igraph.org/reference/sample_degseq.html'>igraph::sample_degseq</a>
delete.edges,<a href='https://r.igraph.org/reference/delete_edges.html'>igraph::delete_edges</a>
delete.vertices,<a href='https://r.igraph.org/reference/delete_vertices.html'>igraph::delete_vertices</a>
dendPlot,<a href='https://r.igraph.org/reference/plot_dendrogram.communities.html'>igraph::plot_dendrogram</a>
dominator.tree,<a href='https://r.igraph.org/reference/dominator_tree.html'>igraph::dominator_tree</a>
dyad.census,<a href='https://r.igraph.org/reference/dyad_census.html'>igraph::dyad_census</a>
edge.betweenness,<a href='https://r.igraph.org/reference/betweenness.html'>igraph::edge_betweenness</a>
edge.betweenness.community,<a href='https://r.igraph.org/reference/cluster_edge_betweenness.html'>igraph::cluster_edge_betweenness</a>
edge.connectivity,<a href='https://r.igraph.org/reference/edge_connectivity.html'>igraph::edge_connectivity</a>
edge.disjoint.paths,<a href='https://r.igraph.org/reference/edge_connectivity.html'>igraph::edge_connectivity</a>
establishment.game,<a href='https://r.igraph.org/reference/sample_traits_callaway.html'>igraph::sample_traits</a>
evcent,<a href='https://r.igraph.org/reference/eigen_centrality.html'>igraph::eigen_centrality</a>
farthest.nodes,<a href='https://r.igraph.org/reference/diameter.html'>igraph::farthest_vertices</a>
fastgreedy.community,<a href='https://r.igraph.org/reference/cluster_fast_greedy.html'>igraph::cluster_fast_greedy</a>
forest.fire.game,<a href='https://r.igraph.org/reference/sample_forestfire.html'>igraph::sample_forestfire</a>
get.adjedgelist,<a href='https://r.igraph.org/reference/as_adj_list.html'>igraph::as_adj_edge_list</a>
get.adjlist,<a href='https://r.igraph.org/reference/as_adj_list.html'>igraph::as_adj_list</a>
get.adjacency,<a href='https://r.igraph.org/reference/as_adjacency_matrix.html'>igraph::as_adjacency_matrix</a>
get.data.frame,<a href='https://r.igraph.org/reference/graph_from_data_frame.html'>igraph::as_data_frame</a>
get.edge.attribute,<a href='https://r.igraph.org/reference/edge_attr.html'>igraph::edge_attr</a>
get.edgelist,<a href='https://r.igraph.org/reference/as_edgelist.html'>igraph::as_edgelist</a>
get.graph.attribute,<a href='https://r.igraph.org/reference/graph_attr.html'>igraph::graph_attr</a>
get.incidence,<a href='https://r.igraph.org/reference/as_biadjacency_matrix.html'>igraph::as_biadjacency_matrix</a>
get.stochastic,<a href='https://r.igraph.org/reference/stochastic_matrix.html'>igraph::stochastic_matrix</a>
get.vertex.attribute,<a href='https://r.igraph.org/reference/vertex_attr.html'>igraph::vertex_attr</a>
graph.adhesion,<a href='https://r.igraph.org/reference/edge_connectivity.html'>igraph::adhesion</a>
graph.adjacency,<a href='https://r.igraph.org/reference/graph_from_adjacency_matrix.html'>igraph::graph_from_adjacency_matrix</a>
graph.adjlist,<a href='https://r.igraph.org/reference/graph_from_adj_list.html'>igraph::graph_from_adj_list</a>
graph.atlas,<a href='https://r.igraph.org/reference/graph_from_atlas.html'>igraph::graph_from_atlas</a>
graph.automorphisms,<a href='https://r.igraph.org/reference/count_automorphisms.html'>igraph::count_automorphisms</a>
graph.bfs,<a href='https://r.igraph.org/reference/bfs.html'>igraph::bfs</a>
graph.bipartite,<a href='https://r.igraph.org/reference/make_bipartite_graph.html'>igraph::make_bipartite_graph</a>
graph.cohesion,<a href='https://r.igraph.org/reference/vertex_connectivity.html'>igraph::cohesion</a>
graph.complementer,<a href='https://r.igraph.org/reference/complementer.html'>igraph::complementer</a>
graph.compose,<a href='https://r.igraph.org/reference/compose.html'>igraph::compose</a>
graph.coreness,<a href='https://r.igraph.org/reference/coreness.html'>igraph::coreness</a>
graph.data.frame,<a href='https://r.igraph.org/reference/graph_from_data_frame.html'>igraph::graph_from_data_frame</a>
graph.de.bruijn,<a href='https://r.igraph.org/reference/make_de_bruijn_graph.html'>igraph::make_de_bruijn_graph</a>
graph.density,<a href='https://r.igraph.org/reference/edge_density.html'>igraph::edge_density</a>
graph.disjoint.union,<a href='https://r.igraph.org/reference/disjoint_union.html'>igraph::disjoint_union</a>
graph.dfs,<a href='https://r.igraph.org/reference/dfs.html'>igraph::dfs</a>
graph.difference,<a href='https://r.igraph.org/reference/difference.html'>igraph::difference</a>
graph.diversity,<a href='https://r.igraph.org/reference/diversity.html'>igraph::diversity</a>
graph.edgelist,<a href='https://r.igraph.org/reference/graph_from_edgelist.html'>igraph::graph_from_edgelist</a>
graph.eigen,<a href='https://r.igraph.org/reference/spectrum.html'>igraph::spectrum</a>
graph.empty,<a href='https://r.igraph.org/reference/make_empty_graph.html'>igraph::make_empty_graph</a>
graph.extended.chordal.ring,<a href='https://r.igraph.org/reference/make_chordal_ring.html'>igraph::make_chordal_ring</a>
graph.formula,<a href='https://r.igraph.org/reference/graph_from_literal.html'>igraph::graph_from_literal</a>
graph.full,<a href='https://r.igraph.org/reference/make_full_graph.html'>igraph::make_full_graph</a>
